Original,Inflection,Lemma,is_same
سيارة,سيارة,سَيّارَة,False
سيارة,السيارة,سَيّارَة,False
سيارة,سيارات,سَيّارَة,False
سيارة,السيارات,سَيّارَة,False
سيارة,سيارتي,سَيّارَة,False
سيارة,سيارته,سَيّارَة,False
سيارة,سيارتها,سَيّارَة,False
سيارة,سيارتهما,سَيّارَة,False
سيارة,سياراتهنا,سياراتهنا,False
سيارة,سيارتهم,سَيّارَة,False
سيارة,سيارتنا,سَيّارَة,False
سيارة,سياراتهن,سَيّارَة,False
سيارة,سياراتكم,سَيّارَة,False
سيارة,سياراتكن,سَيّارَة,False
سيارة,سيارتك,سَيّارَة,False
سيارة,سياراتكما,سَيّارَة,False
سيارة,سياراتكنا,سياراتكنا,False
منزل,منزل,مَنْزِل,False
منزل,المنزل,مَنْزِل,False
منزل,منازل,مُنازِل,False
منزل,المنازل,مُنازِل,False
منزل,منزلي,مَنْزِلِيّ,False
منزل,منزله,مَنْزِلَة,False
منزل,منزلها,مَنْزِل,False
منزل,منزلهما,مَنْزِل,False
منزل,منزلهنا,منزلهنا,False
منزل,منزلهم,مَنْزِل,False
منزل,منزلنا,مَنْزِل,False
منزل,منزلهنا,منزلهنا,False
منزل,منزلكم,مَنْزِل,False
منزل,منزلكن,مَنْزِل,False
منزل,منزلكم,مَنْزِل,False
منزل,منزلكما,مَنْزِل,False
منزل,منزلكنا,منزلكنا,False
شقة,شقة,شُقَّة,False
شقة,الشقة,شُقَّة,False
شقة,شقق,شَقَّة,False
شقة,الشقق,شَقَّة,False
شقة,شقتي,شَقَّة,False
شقة,شقته,شُقَّة,False
شقة,شقتها,شَقّ,False
شقة,شقتهما,شُقَّة,False
شقة,شقتهنا,شقتهنا,False
شقة,شقتهم,شُقَّة,False
شقة,شقتنا,شُقَّة,False
شقة,شقتهن,شُقَّة,False
شقة,شقتكم,شُقَّة,False
شقة,شقتكن,شُقَّة,False
شقة,شقتك,شَقّ,False
شقة,شقتكما,شُقَّة,False
شقة,شقتكنا,شقتكنا,False
أمريكا,أمريكا,أَمْرِيكا,False
أمريكا,أمريكي,أَمْرِيكِيّ,False
أمريكا,الأمريكي,أَمْرِيكِيّ,False
أمريكا,أمريكية,أَمْرِيكِيّ,False
أمريكا,الأمريكية,أَمْرِيكِيّ,False
أمريكا,أمريكين,أمريكين,False
أمريكا,أمريكيون,أَمْرِيكِيّ,False
أمريكا,أمريكيات,أَمْرِيكِيّ,False
أمريكا,الأمريكين,أمريكين,False
أمريكا,الأمريكين,أمريكين,False
أمريكا,الأمريكيون,أَمْرِيكِيّ,False
أمريكا,الأمريكيات,أَمْرِيكِيّ,False
أمريكا,أمريكياتان,أمريكياتان,False
أمريكا,أمريكيان,أَمْرِيكِيّ,False
أمريكا,الأمريكياتان,أمريكياتان,False
أمريكا,الأمريكيان,أَمْرِيكِيّ,False
دم,دم,دَمّ,False
دم,الدم,دَمّ,False
دم,دماء,دَم,False
دم,الدماء,دَم,False
دم,دموي,دَمَوِيّ,False
دم,الدموي,دَمَوِيّ,False
دم,دموية,دَمَوِيّ,False
دم,الدموية,دَمَوِيّ,False
دم,دمي,دَمِي,False
دم,دمه,دَمّ,False
دم,دمها,دَمّ,False
دم,دمائهما,دَم,False
دم,دمائهتما,دمائهتما,False
دم,دمائهما,دَم,False
دم,دمائنا,دَم,False
دم,دمائهن,دَم,False
دم,دمائكم,دَم,False
دم,دمائكن,دَم,False
دم,دمائك,دَم,False
دم,دمائكما,دَم,False
دم,دمائكنا,دمائكنا,False
إنس,إنس,إِنْس,False
إنس,إنسان,إِنْسان,False
إنس,الإنسان,إِنْسان,False
إنس,إنساني,إِنْسانِيّ,False
إنس,الإنساني,إِنْسانِيّ,False
إنس,إنسانية,إِنْسانِيّ,False
إنس,الإنسانية,إِنْسانِيَّة,False
إنس,ناس,ناسِي,False
إنس,الناس,ناس,False
لورا,لورا,وَراءَ,False
مارستون,مارستون,مارستون,True
أليك,أليك,وَلِي,False
سميث,سميث,سمِيث,False
