Original,Inflection,rbl_ara_folding,is_same
علم,علم,علم,True
علم,العلم,علم,True
علم,العلوم,علم,True
علم,علوم,علم,True
علم,التعليم,تعليم,False
علم,معلم,معلم,False
علم,المعلم,معلم,False
علم,معلمة,معلم,False
علم,المعلمة,معلم,False
علم,معلمان,معلم,False
علم,المعلمان,معلم,False
علم,معلمون,معلم,False
علم,المعلمون,معلم,False
علم,معلمتان,معلم,False
علم,المعلمتان,معلم,False
علم,المعلمات,معلم,False
علم,معلمين,معلم,False
علم,المعلمين,معلم,False
علم,معلومة,معلومة,False
علم,المعلومة,معلومة,False
علم,معلومات,معلوم,False
علم,المعلومات,معلوم,False
علم,أستعلم,استعلم,False
علم,أستعلام,,False
علم,علمي,علم,True
علم,علمه,علمة,False
علم,علمها,علم,True
علم,علمهما,علم,True
علم,علمهنا,,False
علم,علمهم,علم,True
علم,علمنا,علم,True
علم,علمهن,علم,True
علم,علمكم,علم,True
علم,علمكن,علم,True
علم,علمك,علم,True
علم,علمكما,علم,True
علم,علمكنا,,False
علم,أستعلامات,,False
علم,الأستعلامات,استعلامات,False
شجرة,شجرة,شجرة,True
شجرة,الشجرة,شجرة,True
شجرة,أشجار,شجرة,True
شجرة,الأشجار,شجرة,True
شجرة,شجيرات,شجير,False
شجرة,الشجيرات,شجير,False
شجرة,شجرتان,شجرة,True
شجرة,الشجرتان,شجرة,True
شجرة,شجرتين,شجرة,True
شجرة,الشجرتين,شجرة,True
شجرة,تشجير,تشجير,False
شجرة,التشجير,تشجير,False
شجرة,شجرتي,شجر,False
شجرة,شجرته,شجرة,True
شجرة,شجرتها,شجرة,True
شجرة,شجرتهما,شجرة,True
شجرة,شجرتهنا,,False
شجرة,شجرهم,شجرة,True
شجرة,أشجارنا,شجرة,True
شجرة,اشجارهن,شجرة,True
شجرة,أشجاركم,شجرة,True
شجرة,أشجاركن,شجرة,True
شجرة,أشجارك,شجرة,True
شجرة,أشجاركما,شجرة,True
شجرة,أشجاركنا,,False
عائلة,عائلة,عائلة,True
عائلة,العائلة,عائلة,True
عائلة,عائلات,عائلة,True
عائلة,العائلات,عائلة,True
عائلة,عوائل,عائلة,True
عائلة,العوائل,عائلة,True
عائلة,عائل,عائل,False
عائلة,العائل,عائل,False
عائلة,يعول,عال,False
عائلة,المعول,معول,False
عائلة,عائلتان,عائلة,True
عائلة,العائلتان,عائلة,True
عائلة,عائلتين,عائلة,True
عائلة,العائلتين,عائلة,True
عائلة,عائلتي,عائلة,True
عائلة,عائلته,عائلة,True
عائلة,عائلتها,عائلة,True
عائلة,عائلتهما,عائلة,True
عائلة,عائلتهنا,,False
عائلة,عائلتهم,عائلة,True
عائلة,عائلتنا,عائلة,True
عائلة,عائلتهن,عائلة,True
عائلة,عائلتكم,عائلة,True
عائلة,عائلتكن,عائلة,True
عائلة,عائلتك,عائلة,True
عائلة,عائلتكما,عائلة,True
عائلة,عائلتكنا,,False
غربة,غربة,غربة,True
غربة,الغربة,غربة,True
غربة,غرباء,غريب,False
غربة,الغرباء,غريب,False
غربة,غريب,غريب,False
غربة,الغريب,غريب,False
غربة,غريبة,غريب,False
غربة,الغريبة,غريب,False
غربة,اغرب,اغرب,False
غربة,الغرب,غرب,False
غربة,غربية,غربي,False
غربة,الغربية,غربي,False
غربة,غربية,غربي,False
غربة,الغربي,غربي,False
غربة,غرائب,غريبة,False
غربة,الغرائب,غريبة,False
غربة,غريبات,غريب,False
غربة,الغريبات,غريب,False
غربة,غريبين,غريب,False
غربة,الغريبين,غريب,False
غربة,غريبون,غريب,False
غربة,الغريبون,غريب,False
غربة,غريبان,غريب,False
غربة,الغريبان,غريب,False
غربة,غريباتان,,False
غربة,الغريباتان,غريباتان,False
غربة,غريبتين,غريب,False
غربة,الغريبتين,غريب,False
غربة,مغترب,مغترب,False
غربة,المغترب,مغترب,False
غربة,مغتربة,مغترب,False
غربة,المغتربة,مغترب,False
غربة,المغرب,مغرب,False
غربة,المغربي,مغربي,False
غربة,مغرب,مغرب,False
غربة,مغربية,مغربي,False
غربة,المغربية,مغربي,False
غربة,مغربي,مغربي,False
جميل,جميل,جميل,True
جميل,الجمال,جمل,False
جميل,جميل,جميل,True
