Original,Inflection,msarhan,is_same
اخذ,أخذ,أخذ,False
اكل,أكل,أكل,False
اسر,أسر,أسر,False
اقر,أقر,قرر,False
سال,سأل,سأل,False
ان,أن,أن,False
الى,إلى,إلى,False
اتى,أتى,أتي,False
اوى,أوى,أوي,False
ارض,أرض,أرض,False
ارز,أرز,رزأ,False
اسد,أسد,أسد,False
امة,أمة,امة,True
اخذ,اخذ,أخذ,False
اكل,اكل,أكل,False
اسر,اسر,أسر,False
اقر,اقر,قرر,False
سال,سال,سول,False
ان,ان,ان,True
الى,الى,الى,True
اتى,اتى,اتى,True
اوى,اوى,اوى,True
ارض,ارض,أرض,False
ارز,ارز,رزأ,False
اسد,اسد,أسد,False
امة,امة,امة,True
