Original,Inflection,msarhan,is_same
علم,علم,علم,True
علم,العلم,علم,True
علم,العلوم,علم,True
علم,علوم,علم,True
علم,التعليم,علم,True
علم,معلم,علم,True
علم,المعلم,علم,True
علم,معلمة,علم,True
علم,المعلمة,علم,True
علم,معلمان,علم,True
علم,المعلمان,علم,True
علم,معلمون,علم,True
علم,المعلمون,علم,True
علم,معلمتان,علم,True
علم,المعلمتان,علم,True
علم,المعلمات,علم,True
علم,معلمين,علم,True
علم,المعلمين,علم,True
علم,معلومة,علم,True
علم,المعلومة,علم,True
علم,معلومات,علم,True
علم,المعلومات,علم,True
علم,أستعلم,علم,True
علم,أستعلام,علم,True
علم,علمي,علم,True
علم,علمه,علم,True
علم,علمها,علم,True
علم,علمهما,علم,True
علم,علمهنا,علم,True
علم,علمهم,علم,True
علم,علمنا,علم,True
علم,علمهن,علم,True
علم,علمكم,علم,True
علم,علمكن,علم,True
علم,علمك,علم,True
علم,علمكما,علم,True
علم,علمكنا,علم,True
علم,أستعلامات,علم,True
علم,الأستعلامات,علم,True
شجرة,شجرة,شجر,False
شجرة,الشجرة,شجر,False
شجرة,أشجار,شجر,False
شجرة,الأشجار,شجر,False
شجرة,شجيرات,شجر,False
شجرة,الشجيرات,شجر,False
شجرة,شجرتان,شجر,False
شجرة,الشجرتان,شجر,False
شجرة,شجرتين,شجر,False
شجرة,الشجرتين,شجر,False
شجرة,تشجير,شجر,False
شجرة,التشجير,شجر,False
شجرة,شجرتي,شجر,False
شجرة,شجرته,شجر,False
شجرة,شجرتها,شجر,False
شجرة,شجرتهما,شجر,False
شجرة,شجرتهنا,شجر,False
شجرة,شجرهم,شجر,False
شجرة,أشجارنا,شجر,False
شجرة,اشجارهن,شجر,False
شجرة,أشجاركم,شجر,False
شجرة,أشجاركن,شجر,False
شجرة,أشجارك,شجر,False
شجرة,أشجاركما,شجر,False
شجرة,أشجاركنا,شجر,False
عائلة,عائلة,عول,False
عائلة,العائلة,عول,False
عائلة,عائلات,عول,False
عائلة,العائلات,عول,False
عائلة,عوائل,عول,False
عائلة,العوائل,عول,False
عائلة,عائل,عول,False
عائلة,العائل,عول,False
عائلة,يعول,عول,False
عائلة,المعول,عول,False
عائلة,عائلتان,عول,False
عائلة,العائلتان,عول,False
عائلة,عائلتين,عول,False
عائلة,العائلتين,عول,False
عائلة,عائلتي,عول,False
عائلة,عائلته,عول,False
عائلة,عائلتها,عول,False
عائلة,عائلتهما,عول,False
عائلة,عائلتهنا,عول,False
عائلة,عائلتهم,عول,False
عائلة,عائلتنا,عول,False
عائلة,عائلتهن,عول,False
عائلة,عائلتكم,عول,False
عائلة,عائلتكن,عول,False
عائلة,عائلتك,عول,False
عائلة,عائلتكما,عول,False
عائلة,عائلتكنا,عول,False
غربة,غربة,غرب,False
غربة,الغربة,غرب,False
غربة,غرباء,غرب,False
غربة,الغرباء,غرب,False
غربة,غريب,غرب,False
غربة,الغريب,غرب,False
غربة,غريبة,غرب,False
غربة,الغريبة,غرب,False
غربة,اغرب,غرب,False
غربة,الغرب,غرب,False
غربة,غربية,غرب,False
غربة,الغربية,غرب,False
غربة,غربية,غرب,False
غربة,الغربي,غرب,False
غربة,غرائب,غرب,False
غربة,الغرائب,غرب,False
غربة,غريبات,غرب,False
غربة,الغريبات,غرب,False
غربة,غريبين,غرب,False
غربة,الغريبين,غرب,False
غربة,غريبون,غرب,False
غربة,الغريبون,غرب,False
غربة,غريبان,غرب,False
غربة,الغريبان,غرب,False
غربة,غريباتان,غرب,False
غربة,الغريباتان,غرب,False
غربة,غريبتين,غرب,False
غربة,الغريبتين,غرب,False
غربة,مغترب,غرب,False
غربة,المغترب,غرب,False
غربة,مغتربة,غرب,False
غربة,المغتربة,غرب,False
غربة,المغرب,مغرب,False
غربة,المغربي,مغرب,False
غربة,مغرب,مغرب,False
غربة,مغربية,مغرب,False
غربة,المغربية,مغرب,False
غربة,مغربي,مغرب,False
جميل,جميل,جمل,False
جميل,الجمال,جمل,False
جميل,جميل,جمل,False
جميل,الجميل,جمل,False
جميل,جميلة,جمل,False
جميل,الجميلة,جمل,False
جميل,جميلين,جمل,False
جميل,الجملين,جمل,False
