Original,Inflection,elasticsearch,is_same
نقل,نقل,نقل,True
نقل,أنقل,انقل,False
نقل,تنفل,تنفل,False
نقل,تنقلين,تنقل,False
نقل,تنقلي,تنقل,False
نقل,تنقلون,تنقل,False
نقل,تنقلوا,تنقلوا,False
نقل,تنقلن,تنقلن,False
نقل,ينقل,ينقل,False
نقل,تنقل,تنقل,False
نقل,ينقلان,ينقل,False
نقل,ينقلا,ينقلا,False
نقل,تنقلان,تنقل,False
نقل,تنقلا,تنقلا,False
نقل,ينقلون,ينقل,False
نقل,ينقلوا,ينقلوا,False
نقل,ينقلن,ينقلن,False
نقل,ننقل,ننقل,False
نقل,نقلت,نقلت,False
نقل,نقلت,نقلت,False
نقل,نقلت,نقلت,False
نقل,نقلتم,نقلتم,False
نقل,نقلتن,نقلتن,False
نقل,نقل,نقل,True
نقل,نقلت,نقلت,False
نقل,نقلا,نقلا,False
نقل,نقلنا,نقلنا,False
نقل,نقلوا,نقلوا,False
نقل,نقلن,نقلن,False
نقل,نقلنا,نقلنا,False
نقل,أنقل,انقل,False
نقل,أنقلي,انقل,False
نقل,أنقلوا,انقلوا,False
نقل,أنقلن,انقلن,False
منح,منح,منح,True
منح,أمنح,امنح,False
منح,تمنح,تمنح,False
منح,تمنحين,تمنح,False
منح,تمنحي,تمنح,False
منح,تمنحون,تمنح,False
منح,تمنحوا,تمنحوا,False
منح,تمنحن,تمنحن,False
منح,يمنح,يمنح,False
منح,تمنح,تمنح,False
منح,يمنحان,يمنح,False
منح,يمنحان,يمنح,False
منح,تمنحان,تمنح,False
منح,تمنحا,تمنحا,False
منح,يمنحون,يمنح,False
منح,يمنحوا,يمنحوا,False
منح,يمنحن,يمنحن,False
منح,نمنح,نمنح,False
منح,منحت,منحت,False
منح,منحت,منحت,False
منح,منحت,منحت,False
منح,منحتم,منحتم,False
منح,منحتن,منحتن,False
منح,منح,منح,True
منح,منحت,منحت,False
منح,منحا,منحا,False
منح,منحتا,منحتا,False
منح,منحوا,منحوا,False
منح,منحن,منحن,False
منح,منحنا,منحنا,False
منح,أمنح,امنح,False
منح,أمنحي,امنح,False
منح,أمنحوا,امنحوا,False
منح,أمنحن,امنحن,False
منع,منع,منع,True
منع,أمنع,امنع,False
منع,تمنع,تمنع,False
منع,تمنعين,تمنع,False
منع,تمنعي,تمنع,False
منع,تمنعون,تمنع,False
منع,تمنعوا,تمنعوا,False
منع,تمنعن,تمنعن,False
منع,يمنع,يمنع,False
منع,تمنع,تمنع,False
منع,يمنعان,يمنع,False
منع,يمنعا,يمنعا,False
منع,تمنعان,تمنع,False
منع,تمنعا,تمنعا,False
منع,يمنعون,يمنع,False
منع,يمنعوا,يمنعوا,False
منع,يمنعن,يمنعن,False
منع,نمنع,نمنع,False
منع,منعت,منعت,False
منع,منعت,منعت,False
منع,منعت,منعت,False
منع,منعتم,منعتم,False
منع,منعتن,منعتن,False
منع,منع,منع,True
منع,منعت,منعت,False
منع,منعا,منعا,False
منع,منعتا,منعتا,False
منع,منعوا,منعوا,False
منع,منعن,منعن,False
منع,منعنا,منعنا,False
منع,أمنع,امنع,False
منع,أمنعي,امنع,False
منع,أمنعوا,امنعوا,False
منع,أمنعن,امنعن,False
علم,علم,علم,True
علم,أعلم,اعلم,False
علم,تعلم,تعلم,False
علم,تعلمين,تعلم,False
علم,تعلمي,تعلم,False
علم,تعلمون,تعلم,False
علم,تعلموا,تعلموا,False
علم,تعملن,تعملن,False
علم,يعلم,يعلم,False
علم,تعلم,تعلم,False
علم,يعلمان,يعلم,False
علم,يعلما,يعلما,False
علم,تعلمان,تعلم,False
علم,تعلما,تعلما,False
علم,يعلمون,يعلم,False
علم,يعلموا,يعلموا,False
علم,يعلمن,يعلمن,False
علم,نعلم,نعلم,False
علم,علمت,علمت,False
علم,علمت,علمت,False
علم,علمت,علمت,False
علم,علمتم,علمتم,False
علم,علمتن,علمتن,False
علم,علم,علم,True
علم,علمت,علمت,False
علم,علما,علما,False
علم,علمتا,علمتا,False
علم,علموا,علموا,False
علم,علمن,علمن,False
علم,علمنا,علمنا,False
علم,إعلم,اعلم,False
علم,إعلمي,اعلم,False
علم,إعلموا,اعلموا,False
علم,إعلمن,اعلمن,False
درك,درك,درك,True
درك,أدرك,ادرك,False
درك,تدرك,تدرك,False
درك,تدركين,تدرك,False
درك,تدركي,تدرك,False
درك,تدركون,تدرك,False
درك,تدركوا,تدركوا,False
درك,تدركن,تدركن,False
درك,يدرك,يدرك,False
درك,تدرك,تدرك,False
درك,يدركان,يدرك,False
درك,يدركا,يدركا,False
درك,تدركان,تدرك,False
درك,تدركا,تدركا,False
درك,يدركون,يدرك,False
درك,يدركوا,يدركوا,False
درك,يدركن,يدركن,False
درك,ندرك,ندرك,False
درك,أدركت,ادركت,False
درك,أدركت,ادركت,False
درك,أدركتي,ادركت,False
درك,أدركتم,ادركتم,False
درك,أدركتن,ادركتن,False
درك,أدرك,ادرك,False
درك,أدركت,ادركت,False
درك,دركا,دركا,False
درك,دركتا,دركتا,False
درك,أدركوا,ادركوا,False
درك,أدركن,ادركن,False
درك,دركنا,دركنا,False
درك,إدرك,ادرك,False
درك,إدركي,ادرك,False
درك,إدركوا,ادركوا,False
درك,إدركن,ادركن,False
سمع,سمع,سمع,True
سمع,أسمع,اسمع,False
سمع,تسمع,تسمع,False
سمع,تسمعين,تسمع,False
سمع,تسمعي,تسمع,False
سمع, تسمعون,تسمع,False
سمع,تسمعوا,تسمعوا,False
سمع,تسمعن,تسمعن,False
سمع,يسمع,يسمع,False
سمع,تسمع,تسمع,False
سمع,يسمعان,يسمع,False
سمع,يسمعا,يسمعا,False
سمع,تسمعان,تسمع,False
سمع,تسمعا,تسمعا,False
سمع,يسمعون,يسمع,False
سمع,يسمعوا,يسمعوا,False
سمع,يسمعن,يسمعن,False
سمع,نسمع,نسمع,False
سمع,سمعت,سمعت,False
سمع,سمعت,سمعت,False
سمع,سمعت,سمعت,False
سمع,سمعتم,سمعتم,False
سمع,سمعتن,سمعتن,False
سمع,سمع,سمع,True
سمع,سمعت,سمعت,False
سمع,سمعا,سمعا,False
سمع,سمعتا,سمعتا,False
سمع,سمعوا,سمعوا,False
سمع,سمعن,سمعن,False
سمع,سمعنا,سمعنا,False
سمع,إسمع,اسمع,False
سمع,إسمعي,اسمع,False
سمع,إسمعوا,اسمعوا,False
سمع,إسمعن,اسمعن,False
نشد,نشد,نشد,True
نشد,أنشد,انشد,False
نشد,تنشد,تنشد,False
نشد,تنشدين,تنشد,False
نشد,تنشدي,تنشد,False
نشد,تنشدون,تنشد,False
نشد,تنشدوا,تنشدوا,False
نشد,تنشدن,تنشدن,False
نشد,ينشد,ينشد,False
نشد,تنشد,تنشد,False
نشد,ينشدنا,ينشدنا,False
نشد,ينشدان,ينشد,False
نشد,تنشدنا,تنشدنا,False
نشد,تنشدان,تنشد,False
نشد,ينشدون,ينشد,False
نشد,ينشدوا,ينشدوا,False
نشد,ينشدن,ينشدن,False
نشد,ننشد,ننشد,False
نشد,نشدت,نشدت,False
نشد,نشدت,نشدت,False
نشد,نشدت,نشدت,False
نشد,نشدتم,نشدتم,False
نشد,نشدتن,نشدتن,False
نشد,نشد,نشد,True
نشد,نشدت,نشدت,False
نشد,نشدا,نشدا,False
نشد,نشدتا,نشدتا,False
نشد,نشدوا,نشدوا,False
نشد,نشدن,نشدن,False
نشد,نشدنا,نشدنا,False
نشد,إنشد,انشد,False
نشد,إنشدي,انشد,False
نشد,إنشدوا,انشدوا,False
نشد,إنشدن,انشدن,False
كتب,كتب,كتب,True
كتب,أكتب,اكتب,False
كتب,تكتب,تكتب,False
كتب,تكتبين,تكتب,False
كتب,تكتبين,تكتب,False
كتب,تكتبون,تكتب,False
كتب,تكتبوا,تكتبوا,False
كتب,تكتبن,تكتبن,False
كتب,يكتب,يكتب,False
كتب,تكتب,تكتب,False
كتب,يكتبان,يكتب,False
كتب,يكتبا,يكتبا,False
كتب,تكتبان,تكتب,False
