Original,Inflection,rbl_ara_folding,is_same
نقل,نقل,نقل,True
نقل,أنقل,نقل,True
نقل,تنفل,تنفل,False
نقل,تنقلين,نقل,True
نقل,تنقلي,نقل,True
نقل,تنقلون,نقل,True
نقل,تنقلوا,تنقل,False
نقل,تنقلن,نقل,True
نقل,ينقل,نقل,True
نقل,تنقل,نقل,True
نقل,ينقلان,نقل,True
نقل,ينقلا,نقل,True
نقل,تنقلان,نقل,True
نقل,تنقلا,تنقل,False
نقل,ينقلون,نقل,True
نقل,ينقلوا,نقل,True
نقل,ينقلن,نقل,True
نقل,ننقل,نقل,True
نقل,نقلت,نقل,True
نقل,نقلت,نقل,True
نقل,نقلت,نقل,True
نقل,نقلتم,نقل,True
نقل,نقلتن,نقل,True
نقل,نقل,نقل,True
نقل,نقلت,نقل,True
نقل,نقلا,نقل,True
نقل,نقلنا,نقل,True
نقل,نقلوا,نقل,True
نقل,نقلن,نقل,True
نقل,نقلنا,نقل,True
نقل,أنقل,نقل,True
نقل,أنقلي,,False
نقل,أنقلوا,,False
نقل,أنقلن,,False
منح,منح,منح,True
منح,أمنح,منح,True
منح,تمنح,منح,True
منح,تمنحين,منح,True
منح,تمنحي,منح,True
منح,تمنحون,منح,True
منح,تمنحوا,منح,True
منح,تمنحن,منح,True
منح,يمنح,منح,True
منح,تمنح,منح,True
منح,يمنحان,منح,True
منح,يمنحان,منح,True
منح,تمنحان,منح,True
منح,تمنحا,منح,True
منح,يمنحون,منح,True
منح,يمنحوا,منح,True
منح,يمنحن,منح,True
منح,نمنح,منح,True
منح,منحت,منح,True
منح,منحت,منح,True
منح,منحت,منح,True
منح,منحتم,منح,True
منح,منحتن,منح,True
منح,منح,منح,True
منح,منحت,منح,True
منح,منحا,منح,True
منح,منحتا,منح,True
منح,منحوا,منح,True
منح,منحن,منحني,False
منح,منحنا,منح,True
منح,أمنح,منح,True
منح,أمنحي,,False
منح,أمنحوا,,False
منح,أمنحن,,False
منع,منع,منع,True
منع,أمنع,امنع,False
منع,تمنع,منع,True
منع,تمنعين,منع,True
منع,تمنعي,منع,True
منع,تمنعون,منع,True
منع,تمنعوا,تمنع,False
منع,تمنعن,منع,True
منع,يمنع,منع,True
منع,تمنع,منع,True
منع,يمنعان,منع,True
منع,يمنعا,منع,True
منع,تمنعان,منع,True
منع,تمنعا,تمنع,False
منع,يمنعون,منع,True
منع,يمنعوا,منع,True
منع,يمنعن,منع,True
منع,نمنع,منع,True
منع,منعت,منع,True
منع,منعت,منع,True
منع,منعت,منع,True
منع,منعتم,منع,True
منع,منعتن,منع,True
منع,منع,منع,True
منع,منعت,منع,True
منع,منعا,منع,True
منع,منعتا,منع,True
منع,منعوا,منع,True
منع,منعن,منع,True
منع,منعنا,منع,True
منع,أمنع,امنع,False
منع,أمنعي,امنع,False
منع,أمنعوا,,False
منع,أمنعن,,False
علم,علم,علم,True
علم,أعلم,اعلم,False
علم,تعلم,علم,True
علم,تعلمين,علم,True
علم,تعلمي,علم,True
علم,تعلمون,علم,True
علم,تعلموا,تعلم,False
علم,تعملن,عمل,False
علم,يعلم,علم,True
علم,تعلم,علم,True
علم,يعلمان,علم,True
علم,يعلما,علم,True
علم,تعلمان,علم,True
علم,تعلما,تعلم,False
علم,يعلمون,علم,True
علم,يعلموا,علم,True
علم,يعلمن,علمن,False
علم,نعلم,علم,True
علم,علمت,علم,True
علم,علمت,علم,True
علم,علمت,علم,True
علم,علمتم,علم,True
علم,علمتن,علم,True
علم,علم,علم,True
علم,علمت,علم,True
علم,علما,علم,True
علم,علمتا,علم,True
علم,علموا,علم,True
علم,علمن,علمن,False
علم,علمنا,علم,True
علم,إعلم,علم,True
علم,إعلمي,علم,True
علم,إعلموا,علم,True
علم,إعلمن,,False
درك,درك,درك,True
درك,أدرك,ادرك,False
درك,تدرك,ادر,False
درك,تدركين,تدرك,False
درك,تدركي,ادرك,False
درك,تدركون,درك,True
درك,تدركوا,تدرك,False
درك,تدركن,ادر,False
درك,يدرك,درك,True
درك,تدرك,ادر,False
درك,يدركان,درك,True
درك,يدركا,درك,True
درك,تدركان,درك,True
درك,تدركا,تدرك,False
درك,يدركون,درك,True
درك,يدركوا,ادرك,False
درك,يدركن,ادر,False
درك,ندرك,درك,True
درك,أدركت,ادرك,False
درك,أدركت,ادرك,False
درك,أدركتي,,False
درك,أدركتم,ادرك,False
درك,أدركتن,ادرك,False
درك,أدرك,ادرك,False
درك,أدركت,ادرك,False
درك,دركا,درك,True
درك,دركتا,درك,True
درك,أدركوا,ادرك,False
درك,أدركن,ادر,False
درك,دركنا,درك,True
درك,إدرك,,False
درك,إدركي,,False
درك,إدركوا,,False
درك,إدركن,,False
سمع,سمع,سمع,True
سمع,أسمع,اسمع,False
سمع,تسمع,سمع,True
سمع,تسمعين,تسمع,False
سمع,تسمعي,سمع,True
سمع, تسمعون,سمع,True
سمع,تسمعوا,تسمع,False
سمع,تسمعن,سمع,True
سمع,يسمع,سمع,True
سمع,تسمع,سمع,True
سمع,يسمعان,سمع,True
سمع,يسمعا,سمع,True
سمع,تسمعان,سمع,True
سمع,تسمعا,تسمع,False
سمع,يسمعون,سمع,True
سمع,يسمعوا,سمع,True
سمع,يسمعن,سمع,True
سمع,نسمع,سمع,True
سمع,سمعت,سمع,True
سمع,سمعت,سمع,True
سمع,سمعت,سمع,True
سمع,سمعتم,سمع,True
سمع,سمعتن,سمع,True
سمع,سمع,سمع,True
سمع,سمعت,سمع,True
سمع,سمعا,سميع,False
سمع,سمعتا,سمع,True
سمع,سمعوا,سمع,True
سمع,سمعن,سمع,True
سمع,سمعنا,سمع,True
سمع,إسمع,,False
سمع,إسمعي,,False
سمع,إسمعوا,,False
سمع,إسمعن,,False
نشد,نشد,نشد,True
نشد,أنشد,انشد,False
نشد,تنشد,نشد,True
نشد,تنشدين,انشد,False
نشد,تنشدي,انشد,False
نشد,تنشدون,انشد,False
نشد,تنشدوا,انشد,False
