Original,Inflection,Lemma,is_same
زهر,أزهار,زَهْر,False
فتح,متفتحة,مُتَفَتِّح,False
شجر,أشجار,شَجَرَة,False
خضر,بخضرتها,خُضْرَة,False
شرق,مشرقة,مُشْرِق,False
فوح,فواحة,فَوّاح,False
سرر,سرّ,سُرّ,False
وحد,واحد,واحِد,False
ورق,الأوراق,وَرَق,False
جعل,جعلنا,جَعَل,False
نعم,ينعم,نَعُم,False
ثمر,الثمار,ثَمَر,False
نضج,تنضج,أَنْضَج,False
نزل,منازلهم,مُنازِل,False
درج,ادراجهم,دُرْج,False
نظر,منظر,مُنَظِّر,False
جمل,جميلة,جَمِيل,False
رفع,ارتفاع,اِرْتِفاع,False
قطر,قاطرات,قاطِرَة,False
عرس,كعروس,عَرُوس,False
