Original,Inflection,rosette,is_same
نقل,نقل,نَقْل,FALSE
نقل,أنقل,نَقَل,FALSE
نقل,تنفل,تَنَفَّل,FALSE
نقل,تنقلين,نَقَل,FALSE
نقل,تنقلي,نَقَل,FALSE
نقل,تنقلون,نَقَّل,FALSE
نقل,تنقلوا,تَنَقَّل,FALSE
نقل,تنقلن,تنقلن,FALSE
نقل,ينقل,نَقَل,FALSE
نقل,تنقل,نَقَل,FALSE
نقل,ينقلان,نَقَل,FALSE
نقل,ينقلا,نَقَل,FALSE
نقل,تنقلان,نَقَل,FALSE
نقل,تنقلا,تَنَقُّل,FALSE
نقل,ينقلون,نَقَل,FALSE
نقل,ينقلوا,نَقَل,FALSE
نقل,ينقلن,نَقَل,FALSE
نقل,ننقل,نَقَل,FALSE
نقل,نقلت,نقلت,FALSE
نقل,نقلت,نقلت,FALSE
نقل,نقلت,نقلت,FALSE
نقل,نقلتم,نقلتم,FALSE
نقل,نقلتن,نقلتن,FALSE
نقل,نقل,نَقْل,FALSE
نقل,نقلت,نقلت,FALSE
نقل,نقلا,نقلا,FALSE
نقل,نقلنا,نقلنا,FALSE
نقل,نقلوا,نقلوا,FALSE
نقل,نقلن,نقلن,FALSE
نقل,نقلنا,نقلنا,FALSE
نقل,أنقل,نَقَل,FALSE
نقل,أنقلي,أنقلي,FALSE
نقل,أنقلوا,أنقلوا,FALSE
نقل,أنقلن,أنقلن,FALSE
منح,منح,مَنْح,FALSE
منح,أمنح,مَنَح,FALSE
منح,تمنح,مَنَح,FALSE
منح,تمنحين,مَنَح,FALSE
منح,تمنحي,مَنَح,FALSE
منح,تمنحون,مَنَح,FALSE
منح,تمنحوا,مَنَح,FALSE
منح,تمنحن,مَنَح,FALSE
منح,يمنح,مَنَح,FALSE
منح,تمنح,مَنَح,FALSE
منح,يمنحان,مَنَح,FALSE
منح,يمنحان,مَنَح,FALSE
منح,تمنحان,مَنَح,FALSE
منح,تمنحا,مَنَح,FALSE
منح,يمنحون,مَنَح,FALSE
منح,يمنحوا,مَنَح,FALSE
منح,يمنحن,مَنَح,FALSE
منح,نمنح,مَنَح,FALSE
منح,منحت,مَنَح,FALSE
منح,منحت,مَنَح,FALSE
منح,منحت,مَنَح,FALSE
منح,منحتم,مَنَح,FALSE
منح,منحتن,مَنَح,FALSE
منح,منح,مَنْح,FALSE
منح,منحت,مَنَح,FALSE
منح,منحا,مَنْح,FALSE
منح,منحتا,مِنْحَت,FALSE
منح,منحوا,مَنَح,FALSE
منح,منحن,مُنْحَنِي,FALSE
منح,منحنا,مَنْح,FALSE
منح,أمنح,مَنَح,FALSE
منح,أمنحي,أمنحي,FALSE
منح,أمنحوا,أمنحوا,FALSE
منح,أمنحن,أمنحن,FALSE
منع,منع,مَنَع,FALSE
منع,أمنع,أَمْنَع,FALSE
منع,تمنع,مَنَع,FALSE
منع,تمنعين,مَنَع,FALSE
منع,تمنعي,مَنَع,FALSE
منع,تمنعون,مَنَع,FALSE
منع,تمنعوا,تَمَنَّع,FALSE
منع,تمنعن,مَنَع,FALSE
منع,يمنع,مَنَع,FALSE
منع,تمنع,مَنَع,FALSE
منع,يمنعان,مَنَع,FALSE
منع,يمنعا,مَنَع,FALSE
منع,تمنعان,مَنَع,FALSE
منع,تمنعا,تَمَنُّع,FALSE
منع,يمنعون,مَنَع,FALSE
منع,يمنعوا,مَنَع,FALSE
منع,يمنعن,مَنَع,FALSE
منع,نمنع,مَنَع,FALSE
منع,منعت,منعت,FALSE
منع,منعت,منعت,FALSE
منع,منعت,منعت,FALSE
منع,منعتم,مَنَع,FALSE
منع,منعتن,مَنَع,FALSE
منع,منع,مَنَع,FALSE
منع,منعت,منعت,FALSE
منع,منعا,مَنْع,FALSE
منع,منعتا,مَنَع,FALSE
منع,منعوا,مَنَع,FALSE
منع,منعن,مَنَع,FALSE
منع,منعنا,مَنَع,FALSE
منع,أمنع,أَمْنَع,FALSE
منع,أمنعي,أَمْنَع,FALSE
منع,أمنعوا,أمنعوا,FALSE
منع,أمنعن,أمنعن,FALSE
علم,علم,عَلِم,FALSE
علم,أعلم,أَعْلَم,FALSE
علم,تعلم,عَلِم,FALSE
علم,تعلمين,عَلِم,FALSE
علم,تعلمي,عَلِم,FALSE
علم,تعلمون,عَلَّم,FALSE
علم,تعلموا,تَعَلَّم,FALSE
علم,تعملن,تعملن,FALSE
علم,يعلم,عَلِم,FALSE
علم,تعلم,عَلِم,FALSE
علم,يعلمان,عَلِم,FALSE
علم,يعلما,عَلِم,FALSE
علم,تعلمان,عَلِم,FALSE
علم,تعلما,تَعَلُّم,FALSE
علم,يعلمون,عَلِم,FALSE
علم,يعلموا,عَلِم,FALSE
علم,يعلمن,عَلْمَن,FALSE
علم,نعلم,عَلِم,FALSE
علم,علمت,علمت,FALSE
علم,علمت,علمت,FALSE
علم,علمت,علمت,FALSE
علم,علمتم,علمتم,FALSE
علم,علمتن,علمتن,FALSE
علم,علم,عَلِم,FALSE
علم,علمت,علمت,FALSE
علم,علما,,FALSE
علم,علمتا,عَلِم,FALSE
علم,علموا,عَلِم,FALSE
علم,علمن,علمن,FALSE
