Original,Inflection,msarhan,is_same
نقل,نقل,نقل,True
نقل,أنقل,نقل,True
نقل,تنفل,نفل,False
نقل,تنقلين,نقل,True
نقل,تنقلي,نقل,True
نقل,تنقلون,نقل,True
نقل,تنقلوا,نقل,True
نقل,تنقلن,نقل,True
نقل,ينقل,نقل,True
نقل,تنقل,نقل,True
نقل,ينقلان,نقل,True
نقل,ينقلا,نقل,True
نقل,تنقلان,نقل,True
نقل,تنقلا,نقل,True
نقل,ينقلون,نقل,True
نقل,ينقلوا,نقل,True
نقل,ينقلن,نقل,True
نقل,ننقل,نقل,True
نقل,نقلت,نقل,True
نقل,نقلت,نقل,True
نقل,نقلت,نقل,True
نقل,نقلتم,نقل,True
نقل,نقلتن,نقل,True
نقل,نقل,نقل,True
نقل,نقلت,نقل,True
نقل,نقلا,نقل,True
نقل,نقلنا,نقل,True
نقل,نقلوا,نقل,True
نقل,نقلن,نقل,True
نقل,نقلنا,نقل,True
نقل,أنقل,نقل,True
نقل,أنقلي,قلي,False
نقل,أنقلوا,نقل,True
نقل,أنقلن,نقل,True
منح,منح,منح,True
منح,أمنح,منح,True
منح,تمنح,منح,True
منح,تمنحين,منح,True
منح,تمنحي,منح,True
منح,تمنحون,منح,True
منح,تمنحوا,منح,True
منح,تمنحن,منح,True
منح,يمنح,منح,True
منح,تمنح,منح,True
منح,يمنحان,حين,False
منح,يمنحان,حين,False
منح,تمنحان,منح,True
منح,تمنحا,منح,True
منح,يمنحون,حين,False
منح,يمنحوا,حوي,False
منح,يمنحن,منح,True
منح,نمنح,منح,True
منح,منحت,نحت,False
منح,منحت,نحت,False
منح,منحت,نحت,False
منح,منحتم,حتم,False
منح,منحتن,منح,True
منح,منح,منح,True
منح,منحت,نحت,False
منح,منحا,منح,True
منح,منحتا,منح,True
منح,منحوا,حوي,False
منح,منحن,منح,True
منح,منحنا,حنأ,False
منح,أمنح,منح,True
منح,أمنحي,منح,True
منح,أمنحوا,منح,True
منح,أمنحن,منح,True
منع,منع,منع,True
منع,أمنع,منع,True
منع,تمنع,منع,True
منع,تمنعين,منع,True
منع,تمنعي,منع,True
منع,تمنعون,منع,True
منع,تمنعوا,منع,True
منع,تمنعن,منع,True
منع,يمنع,منع,True
منع,تمنع,منع,True
منع,يمنعان,عون,False
منع,يمنعا,نعي,False
منع,تمنعان,منع,True
منع,تمنعا,منع,True
منع,يمنعون,عون,False
منع,يمنعوا,عوي,False
منع,يمنعن,منع,True
منع,نمنع,منع,True
منع,منعت,نعت,False
منع,منعت,نعت,False
منع,منعت,نعت,False
منع,منعتم,عتم,False
منع,منعتن,منع,True
منع,منع,منع,True
منع,منعت,نعت,False
منع,منعا,نعي,False
منع,منعتا,عتي,False
منع,منعوا,عوي,False
منع,منعن,منع,True
منع,منعنا,عني,False
منع,أمنع,منع,True
منع,أمنعي,منع,True
منع,أمنعوا,منع,True
منع,أمنعن,منع,True
علم,علم,علم,True
علم,أعلم,علم,True
علم,تعلم,علم,True
علم,تعلمين,علم,True
علم,تعلمي,علم,True
علم,تعلمون,علم,True
علم,تعلموا,علم,True
علم,تعملن,عمل,False
علم,يعلم,علم,True
علم,تعلم,علم,True
علم,يعلمان,علم,True
علم,يعلما,علم,True
علم,تعلمان,علم,True
علم,تعلما,علم,True
علم,يعلمون,علم,True
علم,يعلموا,علم,True
علم,يعلمن,علمن,False
علم,نعلم,علم,True
علم,علمت,علم,True
علم,علمت,علم,True
علم,علمت,علم,True
علم,علمتم,علم,True
علم,علمتن,علم,True
علم,علم,علم,True
علم,علمت,علم,True
علم,علما,علم,True
علم,علمتا,علم,True
علم,علموا,علم,True
علم,علمن,علمن,False
علم,علمنا,علم,True
علم,إعلم,علم,True
علم,إعلمي,علم,True
علم,إعلموا,علم,True
علم,إعلمن,علم,True
درك,درك,درك,True
درك,أدرك,درك,True
درك,تدرك,درك,True
درك,تدركين,درك,True
درك,تدركي,درك,True
درك,تدركون,درك,True
درك,تدركوا,درك,True
درك,تدركن,درأ,False
درك,يدرك,درك,True
درك,تدرك,درك,True
درك,يدركان,درك,True
درك,يدركا,درك,True
درك,تدركان,درك,True
درك,تدركا,درك,True
درك,يدركون,درك,True
درك,يدركوا,درك,True
درك,يدركن,درأ,False
درك,ندرك,ندر,False
درك,أدركت,درك,True
درك,أدركت,درك,True
درك,أدركتي,درك,True
درك,أدركتم,درك,True
درك,أدركتن,درك,True
درك,أدرك,درك,True
درك,أدركت,درك,True
درك,دركا,درك,True
درك,دركتا,درك,True
درك,أدركوا,درك,True
درك,أدركن,درأ,False
درك,دركنا,درك,True
درك,إدرك,درك,True
درك,إدركي,درك,True
درك,إدركوا,درك,True
درك,إدركن,درأ,False
سمع,سمع,سمع,True
سمع,أسمع,سمع,True
سمع,تسمع,سمع,True
سمع,تسمعين,سمع,True
سمع,تسمعي,سمع,True
سمع, تسمعون,سمع,True
سمع,تسمعوا,سمع,True
سمع,تسمعن,سمع,True
سمع,يسمع,سمع,True
سمع,تسمع,سمع,True
سمع,يسمعان,سمع,True
سمع,يسمعا,سمع,True
سمع,تسمعان,سمع,True
سمع,تسمعا,سمع,True
سمع,يسمعون,سمع,True
سمع,يسمعوا,سمع,True
سمع,يسمعن,سمع,True
سمع,نسمع,سمع,True
سمع,سمعت,سمع,True
سمع,سمعت,سمع,True
سمع,سمعت,سمع,True
سمع,سمعتم,سمع,True
سمع,سمعتن,سمع,True
سمع,سمع,سمع,True
سمع,سمعت,سمع,True
سمع,سمعا,سمع,True
سمع,سمعتا,سمع,True
سمع,سمعوا,سمع,True
سمع,سمعن,سمع,True
سمع,سمعنا,سمع,True
سمع,إسمع,سمع,True
سمع,إسمعي,سمع,True
سمع,إسمعوا,سمع,True
سمع,إسمعن,سمع,True
نشد,نشد,نشد,True
نشد,أنشد,نشد,True
نشد,تنشد,نشد,True
نشد,تنشدين,نشد,True
نشد,تنشدي,نشد,True
نشد,تنشدون,نشد,True
