Original,Inflection,msarhan,is_same
واحد,واحد,وحد,False
واحد,الواحد,وحد,False
واحد,واحداً,حدأ,False
واحد,الواحدة,وحد,False
واحد,واحدة,أحد,False
واحد,أحدى,حدأ,False
أثنين,أثنين,ثنن,False
أثنين,ثانية,ثني,False
أثنين,الثانية,ثني,False
أثنين,ثانياً,ثني,False
أثنين,أثنتين,ثني,False
أثنين,أثنين,ثنن,False
أثنين,الأثنين,ثنن,False
أثنين,أثنان,ثنن,False
أثنين,أثنتان,ثني,False
أثنين,الأثنان,ثنن,False
ثلاثة,ثلاثة,ثلث,False
ثلاثة,ثلاث,ثلث,False
ثلاثة,الثالثة,ثلث,False
ثلاثة,ثالثة,ثلث,False
ثلاثة,ثالث,ثلث,False
ثلاثة,الثالث,ثلث,False
ثلاثة,ثلاثين,ثلث,False
ثلاثة,الثلاث,ثلث,False
ثلاثة,الثلاثين,ثلث,False
ثلاثة,ثالثاً,ثلث,False
ثلاثة,ثلث,ثلث,False
ثلاثة,الثلث,ثلث,False
ثلاثة,ثلثين,ثلث,False
ثلاثة,الثلثين,ثلث,False
ثلاثة,الأثلاث,ثلث,False
ثلاثة,الثلثان,ثلث,False
ثلاثة,ثلثان,ثلث,False
ثلاثة,مثلث,ثلث,False
ثلاثة,المثلث,ثلث,False
أربعة,أربعة,ربع,False
أربعة,أربع,ربع,False
أربعة,الأربع,ربع,False
أربعة,أربعين,ربع,False
أربعة,الأربعين,ربع,False
أربعة,الرابع,ربع,False
أربعة,رابعاً,ربع,False
أربعة,الاربعون,ربع,False
أربعة,أربعون,ربع,False
أربعة,ربع,ربع,False
أربعة,الربع,ربع,False
أربعة,الارباع,ربع,False
أربعة,المربع,ربع,False
أربعة,مربع,ربع,False
أربعة,الأربعة,ربع,False
خمسة,خمسة,خمس,False
خمسة,الخمسة,خمس,False
خمسة,خمس,خمس,False
خمسة,الخمس,خمس,False
خمسة, خمسون,خمس,False
خمسة,الخمسون,خمس,False
خمسة,خامساً,خمس,False
خمسة,الخامس,خمس,False
خمسة,خمسين,خمس,False
خمسة,الخمسين,خمس,False
خمسة,الخماسي,خمس,False
خمسة,خماسي,خمس,False
ستة,ستة,ستت,False
ستة,الستة,ستت,False
ستة,ستون,ستت,False
ستة,ستين,ستت,False
ستة,الستون,ستت,False
ستة,الستين,ستت,False
ستة,السادس,سدس,False
ستة,سادساً,سدس,False
ستة,سدس,سدس,False
ستة,السدس,سدس,False
سبعة,سبعة,سبع,False
سبعة,سبع,سبع,False
سبعة,السبعة,سبع,False
سبعة,سابع,سبع,False
سبعة,السابع,سبع,False
سبعة,سابعاً,سبع,False
سبعة,السبع,سبع,False
سبعة,سبع,سبع,False
سبعة,سبعين,سبع,False
سبعة,السبعين,سبع,False
سبعة,سبعون,سبع,False
سبعة,السبعون,سبع,False
ثمانية,ثمانية,ثمن,False
ثمانية,ثمان,ثمن,False
ثمانية,الثمانية,ثمن,False
ثمانية,ثمن,ثمن,False
ثمانية,الثمن,ثمن,False
ثمانية,الثامن,ثمن,False
ثمانية,ثامن,ثمن,False
ثمانية,ثامناً,ثامنا,False
ثمانية,ثمانين,مون,False
ثمانية,الثمانين,مون,False
ثمانية,ثمانون,ثمن,False
ثمانية,الثمانون,ثمن,False
ثمانية,الثامنة,ثمن,False
تسعة,تسعة,تسع,False
تسعة,تسع,تسع,False
تسعة,التسع,لسع,False
تسعة,التسعة,تسع,False
تسعة,تاسع,تسع,False
تسعة,تاسعاً,تسع,False
تسعة,التاسع,تسع,False
تسعة,تسع,تسع,False
تسعة,التسع,لسع,False
تسعة,التاسعة,تسع,False
تسعة,تاسعة,تسع,False
عشرة,عشرة,عشر,False
عشرة,العشرة,عشر,False
عشرة,عشرات,عشر,False
عشرة,عشر,عشر,False
عشرة,عشر,عشر,False
عشرة,العشر,عشر,False
