Original,Inflection,msarhan,is_same
سيارة,سيارة,سور,False
سيارة,السيارة,سور,False
سيارة,سيارات,سور,False
سيارة,السيارات,سور,False
سيارة,سيارتي,سور,False
سيارة,سيارته,سور,False
سيارة,سيارتها,سور,False
سيارة,سيارتهما,سور,False
سيارة,سياراتهنا,سور,False
سيارة,سيارتهم,سور,False
سيارة,سيارتنا,سور,False
سيارة,سياراتهن,سور,False
سيارة,سياراتكم,سور,False
سيارة,سياراتكن,سور,False
سيارة,سيارتك,سور,False
سيارة,سياراتكما,سور,False
سيارة,سياراتكنا,سور,False
منزل,منزل,نزل,False
منزل,المنزل,نزل,False
منزل,منازل,نزل,False
منزل,المنازل,نزل,False
منزل,منزلي,نزل,False
منزل,منزله,نزل,False
منزل,منزلها,نزل,False
منزل,منزلهما,نزل,False
منزل,منزلهنا,نزل,False
منزل,منزلهم,نزل,False
منزل,منزلنا,نزل,False
منزل,منزلهنا,نزل,False
منزل,منزلكم,نزل,False
منزل,منزلكن,نزل,False
منزل,منزلكم,نزل,False
منزل,منزلكما,نزل,False
منزل,منزلكنا,نزل,False
شقة,شقة,شقي,False
شقة,الشقة,شقي,False
شقة,شقق,شقق,False
شقة,الشقق,شقق,False
شقة,شقتي,شقي,False
شقة,شقته,شقي,False
شقة,شقتها,شقي,False
شقة,شقتهما,شقي,False
شقة,شقتهنا,شقي,False
شقة,شقتهم,شقي,False
شقة,شقتنا,شقي,False
شقة,شقتهن,شقي,False
شقة,شقتكم,شقي,False
شقة,شقتكن,شقي,False
شقة,شقتك,شقي,False
شقة,شقتكما,شقي,False
شقة,شقتكنا,شقي,False
أمريكا,أمريكا,امريكا,False
أمريكا,أمريكي,امريكي,False
أمريكا,الأمريكي,امريكي,False
أمريكا,أمريكية,امريكية,False
أمريكا,الأمريكية,امريكية,False
أمريكا,أمريكين,مرأ,False
أمريكا,أمريكيون,امريكيون,False
أمريكا,أمريكيات,امريكيات,False
أمريكا,الأمريكين,مرأ,False
أمريكا,الأمريكين,مرأ,False
أمريكا,الأمريكيون,امريكيون,False
أمريكا,الأمريكيات,امريكيات,False
أمريكا,أمريكياتان,امريكياتان,False
أمريكا,أمريكيان,امريكيان,False
أمريكا,الأمريكياتان,امريكياتان,False
أمريكا,الأمريكيان,امريكيان,False
دم,دم,دمي,False
دم,الدم,دمي,False
دم,دماء,دمي,False
دم,الدماء,دمي,False
دم,دموي,دمي,False
دم,الدموي,دمي,False
دم,دموية,دمي,False
دم,الدموية,دمي,False
دم,دمي,دمي,False
دم,دمه,دمي,False
دم,دمها,دمي,False
دم,دمائهما,دمي,False
دم,دمائهتما,دمي,False
دم,دمائهما,دمي,False
دم,دمائنا,دمي,False
دم,دمائهن,دمي,False
دم,دمائكم,دمي,False
دم,دمائكن,دمي,False
دم,دمائك,دمك,False
دم,دمائكما,دمي,False
دم,دمائكنا,دمك,False
إنس,إنس,نسأ,False
إنس,إنسان,أنس,False
إنس,الإنسان,أنس,False
إنس,إنساني,نسأ,False
إنس,الإنساني,نسأ,False
إنس,إنسانية,أنس,False
إنس,الإنسانية,أنس,False
إنس,ناس,نوس,False
إنس,الناس,نوس,False
لورا,لورا,وري,False
مارستون,مارستون,مرس,False
أليك,أليك,لوك,False
سميث,سميث,سميث,True
