Original,Inflection,Lemma,is_same
أخذ,أخذ,أَخَذ,False
أخذ,أخذ,أَخْذ,False
أخذ,تأخذ,أَخَذ,False
أخذ,تأخذين,أَخَذ,False
أخذ,تأخذي,أَخَذ,False
أخذ,تأخذون,أَخَذ,False
أخذ,تأخذوا,أَخَذ,False
أخذ,تأخذن,أَخَذ,False
أخذ,يأخذ,أَخَذ,False
أخذ,تأخذ,أَخَذ,False
أخذ,تأخذان,أَخَذ,False
أخذ,تأخذا,أَخَذ,False
أخذ,تأخذان,أَخَذ,False
أخذ,تأخذا,أَخَذ,False
أخذ,يأخذون,أَخَذ,False
أخذ,يأخذوا,أَخَذ,False
أخذ,يأخذن,أَخَذ,False
أخذ,نأخذ,أَخَذ,False
أخذ,أخذت,أَخَذ,False
أخذ,أخذت,أَخَذ,False
أخذ,أخذت,أَخَذ,False
أخذ,أخذتم,أَخَذ,False
أخذ,أخذتن,أَخَذ,False
أخذ,أخذ,أَخْذ,False
أخذ,أخذت,أَخَذ,False
أخذ,أخذا,أَخْذ,False
أخذ,أخذنا,أَخَذ,False
أخذ,أخذوا,أَخَذ,False
أخذ,أخذن,أَخَذ,False
أخذ,أخذنا,أَخَذ,False
أخذ,خذ,أَخَذ,False
أخذ,خذي,أَخَذ,False
أخذ,خذوا,أَخَذ,False
أخذ,خذن,خذن,False
سوق,سوق,سَوْق,False
سوق,اسوق,ساق,False
سوق,تسوق,ساق,False
سوق,تسوقين,تَسَوُّق,False
سوق,تسوقي,ساق,False
سوق,تسوقون,سَوَّق,False
سوق,تسوقوا,تَسَوَّق,False
سوق,تسوقن,تَسَوَّق,False
سوق,يسوق,ساق,False
سوق,تسوق,تَسَوُّق,False
سوق,يسوقان,ساق,False
سوق,يسوقا,ساق,False
سوق,تسوقان,ساق,False
سوق,تسوقا,تَسَوُّق,False
سوق,يسوقون,ساق,False
سوق,يسوقوا,ساق,False
سوق,يسوقن,سَوَّق,False
سوق,نسوق,ساق,False
سوق,سوقت,سَوَّق,False
سوق,تسوق,تَسَوُّق,False
سوق,سوقت,سَوَّق,False
سوق,سوقتوا,سوقتوا,False
سوق,سوقتن,سَوَّق,False
سوق,سوق,سَوْق,False
سوق,سوقت,سَوَّق,False
سوق,سوقا,سَوْق,False
سوق,سوقتنا,سُوقَة,False
سوق,سوقتن,سَوَّق,False
سوق,سوقتن,سَوَّق,False
سوق,سوقنا,سَوْق,False
سوق,سوق,سَوْق,False
سوق,سوقي,سُوقِيّ,False
سوق,سوقا,سَوْق,False
سوق,سوقن,سَوَّق,False
صور,صور,صَوَّر,False
صور,اصور,صَوَّر,False
صور,تصور,صَوَّر,False
صور,تصورين,صَوَّر,False
صور,تصوري,صَوَّر,False
صور,تصوران,صَوَّر,False
صور,تصورا,تَصَوُّر,False
صور,تصورنا,تَصَوَّر,False
صور,يصور,صَوَّر,False
صور,تصور,تَصَوُّر,False
صور,يصوران,صَوَّر,False
صور,يصورا,صَوَّر,False
صور,تصورنا,تَصَوُّر,False
صور,تصورا,تَصَوُّر,False
صور,يصورون,صَوَّر,False
صور,يصوروا,صَوَّر,False
صور,يصورن,صَوَّر,False
صور,نصور,صَوَّر,False
صور,صورت,صَوَّر,False
صور,صورتي,صُورَة,False
صور,صور,صُورَة,False
صور,صورتما,صَوَّر,False
صور,صورنا,صَوَّر,False
صور,صور,صُور,False
صور,صورت,صَوَّر,False
صور,صورا,صُورَة,False
صور,صورنا,صَوَّر,False
صور,صوروا,صَوَّر,False
صور,صورن,صَوَّر,False
صور,صورنا,صَوَّر,False
صور,صور,صُورَة,False
صور,صوري,صُوَرِيّ,False
صور,صوروا,صَوَّر,False
صور,صورن,صَوَّر,False
بقى,بقى,بَقِي,False
بقى,أبقى,أَبْقَى,False
بقى,تبقى,تَبَقَّى,False
بقى,تبقين,أَبْقَى,False
بقى,تبقي,أَبْقَى,False
بقى,تبقوا,تَبَقَّى,False
بقى,تبقون,أَبْقَى,False
بقى,تبقين,أَبْقَى,False
بقى,يبقى,بَقِي,False
بقى,تبقى,أَبْقَى,False
بقى,يبقيان,بَقِي,False
بقى,يبقا,بَقّ,False
بقى,تبقيان,بَقِي,False
بقى,تبقيا,تَبَقَّى,False
بقى,يبقون,بَقّ,False
بقى,يبقوا,أَبْقَى,False
بقى,يبقين,أَبْقَى,False
بقى,نبقى,بَقِي,False
بقى,بقيت,بَقِي,False
بقى,بقيت,بَقِي,False
بقى,بقيتي,بَقِيَّة,False
بقى,بقيتم,بَقِي,False
بقى,بقيتن,بَقِي,False
بقى,بقى,قِياء,False
بقى,بقت,بَقّ,False
بقى,بقوا,بَقّ,False
بقى,بقين,بَقّ,False
بقى,بقوا,بَقّ,False
بقى,بقين,بَقّ,False
بقى,بقينا,بَقِي,False
بقى,أبق,أَبَق,False
بقى,أبقي,أَبْقَى,False
بقى,أبقوا,أَبَق,False
بقى,أبقين,أَبَق,False
لاح,لاح,أَحّ,False
لاح,ألوح,لاح,True
لاح,تلوح,لاح,True
لاح,تلوحين,لاح,True
لاح,تلوحين,لاح,True
لاح,تلوحون,لَوَّح,False
لاح,تلوحوا,لَوَّح,False
لاح,تلحن,لَحَن,False
لاح,يلوح,لاح,True
لاح,تلوح,لاح,True
لاح,يلوحان,لاح,True
لاح,يلوحنا,لاح,True
لاح,تلوحان,لاح,True
لاح,تلوحان,لاح,True
لاح,يلوحون,لاح,True
لاح,يلوحوا,لاح,True
لاح,يلحن,لَحَن,False
لاح,نلوح,لاح,True
لاح,لحت,لَحّ,False
لاح,لحت,لَحّ,False
لاح,لحت,لَحّ,False
لاح,لحتم,حَتْم,False
لاح,لحن,لَحِن,False
لاح,لاح,لاحّ,False
لاح,لاحت,لاح,True
لاح,لاحا,لاحّ,False
لاح,لاحتا,لاح,True
لاح,لاحوا,لاح,True
لاح,لحن,لَحِن,False
لاح,لحنا,لَحِن,False
لاح,لح,لَحّ,False
لاح,لوحي,وَحْي,False
لاح,لوحوا,لَوَّح,False
لاح,لحن,لَحِن,False
سأل,سأل,سَأَل,False
سأل,أسأل,سَأَل,False
سأل,تسأل,سَأَل,False
سأل,تسألين,سَأَل,False
سأل,تسألي,سَأَل,False
سأل,تسألون,سَأَل,False
سأل,تسألوا,تَسَأَّل,False
سأل,تسألن,تَسَأَّل,False
سأل,يسأل,سَأَل,False
سأل,تسأل,سَأَل,False
سأل,يسألان,سَأَل,False
