Original,Inflection,elasticsearch,is_same
سيارة,سيارة,سياره,False
سيارة,السيارة,السياره,False
سيارة,سيارات,سيارات,False
سيارة,السيارات,السيارات,False
سيارة,سيارتي,سيارتي,False
سيارة,سيارته,سيارته,False
سيارة,سيارتها,سيارتها,False
سيارة,سيارتهما,سيارتهما,False
سيارة,سياراتهنا,سياراتهنا,False
سيارة,سيارتهم,سيارتهم,False
سيارة,سيارتنا,سيارتنا,False
سيارة,سياراتهن,سياراتهن,False
سيارة,سياراتكم,سياراتكم,False
سيارة,سياراتكن,سياراتكن,False
سيارة,سيارتك,سيارتك,False
سيارة,سياراتكما,سياراتكما,False
سيارة,سياراتكنا,سياراتكنا,False
منزل,منزل,منزل,True
منزل,المنزل,المنزل,False
منزل,منازل,منازل,False
منزل,المنازل,المنازل,False
منزل,منزلي,منزلي,False
منزل,منزله,منزله,False
منزل,منزلها,منزلها,False
منزل,منزلهما,منزلهما,False
منزل,منزلهنا,منزلهنا,False
منزل,منزلهم,منزلهم,False
منزل,منزلنا,منزلنا,False
منزل,منزلهنا,منزلهنا,False
منزل,منزلكم,منزلكم,False
منزل,منزلكن,منزلكن,False
منزل,منزلكم,منزلكم,False
منزل,منزلكما,منزلكما,False
منزل,منزلكنا,منزلكنا,False
شقة,شقة,شقه,False
شقة,الشقة,الشقه,False
شقة,شقق,شقق,False
شقة,الشقق,الشقق,False
شقة,شقتي,شقتي,False
شقة,شقته,شقته,False
شقة,شقتها,شقتها,False
شقة,شقتهما,شقتهما,False
شقة,شقتهنا,شقتهنا,False
شقة,شقتهم,شقتهم,False
شقة,شقتنا,شقتنا,False
شقة,شقتهن,شقتهن,False
شقة,شقتكم,شقتكم,False
شقة,شقتكن,شقتكن,False
شقة,شقتك,شقتك,False
شقة,شقتكما,شقتكما,False
شقة,شقتكنا,شقتكنا,False
أمريكا,أمريكا,امريكا,False
أمريكا,أمريكي,امريكي,False
أمريكا,الأمريكي,الامريكي,False
أمريكا,أمريكية,امريكيه,False
أمريكا,الأمريكية,الامريكيه,False
أمريكا,أمريكين,امريكين,False
أمريكا,أمريكيون,امريكيون,False
أمريكا,أمريكيات,امريكيات,False
أمريكا,الأمريكين,الامريكين,False
أمريكا,الأمريكين,الامريكين,False
أمريكا,الأمريكيون,الامريكيون,False
أمريكا,الأمريكيات,الامريكيات,False
أمريكا,أمريكياتان,امريكياتان,False
أمريكا,أمريكيان,امريكيان,False
أمريكا,الأمريكياتان,الامريكياتان,False
أمريكا,الأمريكيان,الامريكيان,False
دم,دم,دم,True
دم,الدم,الدم,False
دم,دماء,دماء,False
دم,الدماء,الدماء,False
دم,دموي,دموي,False
دم,الدموي,الدموي,False
دم,دموية,دمويه,False
دم,الدموية,الدمويه,False
دم,دمي,دمي,False
دم,دمه,دمه,False
دم,دمها,دمها,False
دم,دمائهما,دمايهما,False
دم,دمائهتما,دمايهتما,False
دم,دمائهما,دمايهما,False
دم,دمائنا,دماينا,False
دم,دمائهن,دمايهن,False
دم,دمائكم,دمايكم,False
دم,دمائكن,دمايكن,False
دم,دمائك,دمايك,False
دم,دمائكما,دمايكما,False
دم,دمائكنا,دمايكنا,False
إنس,إنس,انس,False
إنس,إنسان,انسان,False
إنس,الإنسان,الانسان,False
إنس,إنساني,انساني,False
إنس,الإنساني,الانساني,False
إنس,إنسانية,انسانيه,False
إنس,الإنسانية,الانسانيه,False
إنس,ناس,ناس,False
إنس,الناس,الناس,False
لورا,لورا,لورا,True
مارستون,مارستون,مارستون,True
أليك,أليك,اليك,False
سميث,سميث,سميث,True
