Original,Inflection,Lemma,is_same
علم,علم,عَلِم,False
علم,العلم,عِلْم,False
علم,العلوم,عِلْم,False
علم,علوم,عِلْم,False
علم,التعليم,تَعْلِيم,False
علم,معلم,مُعَلِّم,False
علم,المعلم,مُعَلِّم,False
علم,معلمة,مُعَلِّم,False
علم,المعلمة,مُعَلِّم,False
علم,معلمان,مُعَلِّم,False
علم,المعلمان,مُعَلِّم,False
علم,معلمون,مُعَلِّم,False
علم,المعلمون,مُعَلِّم,False
علم,معلمتان,مُعَلِّم,False
علم,المعلمتان,مُعَلِّم,False
علم,المعلمات,مُعَلِّم,False
علم,معلمين,مُعَلِّم,False
علم,المعلمين,مُعَلِّم,False
علم,معلومة,مَعْلُوم,False
علم,المعلومة,مَعْلُومَة,False
علم,معلومات,مَعْلُوم,False
علم,المعلومات,مَعْلُوم,False
علم,أستعلم,اِسْتَعْلَم,False
علم,أستعلام,أستعلام,False
علم,علمي,عِلْمِيّ,False
علم,علمه,عُلْمَة,False
علم,علمها,عِلْم,False
علم,علمهما,عِلْم,False
علم,علمهنا,علمهنا,False
علم,علمهم,عِلْم,False
علم,علمنا,عَلِم,False
علم,علمهن,عِلْم,False
علم,علمكم,عِلْم,False
علم,علمكن,عَلِم,False
علم,علمك,عِلْم,False
علم,علمكما,عِلْم,False
علم,علمكنا,علمكنا,False
علم,أستعلامات,أستعلامات,False
علم,الأستعلامات,أستعلامات,False
شجرة,شجرة,شَجِر,False
شجرة,الشجرة,شَجِر,False
شجرة,أشجار,شَجَرَة,False
شجرة,الأشجار,شَجَرَة,False
شجرة,شجيرات,شَجِير,False
شجرة,الشجيرات,شَجِير,False
شجرة,شجرتان,شَجِر,False
شجرة,الشجرتان,شَجِر,False
شجرة,شجرتين,شَجِر,False
شجرة,الشجرتين,شَجَرَة,False
شجرة,تشجير,تَشْجِير,False
شجرة,التشجير,تَشْجِير,False
شجرة,شجرتي,شَجِر,False
شجرة,شجرته,شَجَرَة,False
شجرة,شجرتها,شَجَر,False
شجرة,شجرتهما,شَجَرَة,False
شجرة,شجرتهنا,شجرتهنا,False
شجرة,شجرهم,شَجَرَة,False
شجرة,أشجارنا,شَجَرَة,False
شجرة,اشجارهن,شَجَرَة,False
شجرة,أشجاركم,شَجَرَة,False
شجرة,أشجاركن,شَجَرَة,False
شجرة,أشجارك,شَجَرَة,False
شجرة,أشجاركما,شَجَرَة,False
شجرة,أشجاركنا,أشجاركنا,False
عائلة,عائلة,عائِلَة,False
عائلة,العائلة,عائِلَة,False
عائلة,عائلات,عائِلَة,False
عائلة,العائلات,عائِلَة,False
عائلة,عوائل,عائِلَة,False
عائلة,العوائل,عائِلَة,False
عائلة,عائل,عائِل,False
عائلة,العائل,عائِل,False
عائلة,يعول,عال,False
عائلة,المعول,مِعْوَل,False
عائلة,عائلتان,عائِلَة,False
عائلة,العائلتان,عائِلَة,False
عائلة,عائلتين,عائِلَة,False
عائلة,العائلتين,عائِلَة,False
عائلة,عائلتي,عائِلَة,False
عائلة,عائلته,عائِلَة,False
عائلة,عائلتها,عائِلَة,False
عائلة,عائلتهما,عائِلَة,False
عائلة,عائلتهنا,عائلتهنا,False
عائلة,عائلتهم,عائِلَة,False
عائلة,عائلتنا,عائِلَة,False
عائلة,عائلتهن,عائِلَة,False
عائلة,عائلتكم,عائِلَة,False
عائلة,عائلتكن,عائِلَة,False
عائلة,عائلتك,عائِلَة,False
عائلة,عائلتكما,عائِلَة,False
عائلة,عائلتكنا,عائلتكنا,False
غربة,غربة,غُرْبَة,False
غربة,الغربة,غُرْبَة,False
غربة,غرباء,غَرِيب,False
غربة,الغرباء,غَرِيب,False
غربة,غريب,غَرِيب,False
غربة,الغريب,غَرِيب,False
غربة,غريبة,غَرِيب,False
غربة,الغريبة,غَرِيب,False
غربة,اغرب,غُراب,False
غربة,الغرب,غَرْب,False
غربة,غربية,غَرْبِيّ,False
غربة,الغربية,غَرْبِيّ,False
غربة,غربية,غَرْبِيّ,False
غربة,الغربي,غَرْبِيّ,False
غربة,غرائب,غَرِيبَة,False
غربة,الغرائب,غَرِيبَة,False
غربة,غريبات,غَرِيب,False
غربة,الغريبات,غَرِيب,False
غربة,غريبين,غَرِيب,False
غربة,الغريبين,غَرِيب,False
غربة,غريبون,غَرِيب,False
غربة,الغريبون,غَرِيب,False
غربة,غريبان,غَرِيب,False
غربة,الغريبان,غَرِيب,False
غربة,غريباتان,غريباتان,False
غربة,الغريباتان,غريباتان,False
غربة,غريبتين,غَرِيب,False
غربة,الغريبتين,غَرِيب,False
غربة,مغترب,مُغْتَرِب,False
غربة,المغترب,مُغْتَرِب,False
غربة,مغتربة,مُغْتَرِب,False
غربة,المغتربة,مُغْتَرِب,False
غربة,المغرب,مُغَرَّب,False
غربة,المغربي,مَغْرِبِيّ,False
غربة,مغرب,مُغَرَّب,False
غربة,مغربية,مَغْرِبِيّ,False
غربة,المغربية,مَغْرِبِيّ,False
غربة,مغربي,مَغْرِبِيّ,False
جميل,جميل,جَمِيل,False
جميل,الجمال,جَمَل,False
جميل,جميل,جَمِيل,False
جميل,الجميل,جَمِيل,False
جميل,جميلة,جَمِيل,False
جميل,الجميلة,جَمِيل,False
جميل,جميلين,جَمِيل,False
جميل,الجملين,جَمَل,False
جميل,جميلتين,جَمِيل,False
