Original,Inflection,msarhan,elsaticsearch
سيارة,سيارة,,
سيارة,السيارة,,
سيارة,سيارات,,
سيارة,السيارات,,
سيارة,سيارتي,,
سيارة,سيارته,,
سيارة,سيارتها,,
سيارة,سيارتهما,,
سيارة,سياراتهنا,,
سيارة,سيارتهم,,
سيارة,سيارتنا,,
سيارة,سياراتهن,,
سيارة,سياراتكم,,
سيارة,سياراتكن,,
سيارة,سيارتك,,
سيارة,سياراتكما,,
سيارة,سياراتكنا,,
منزل,منزل,,
منزل,المنزل,,
منزل,منازل,,
منزل,المنازل,,
منزل,منزلي,,
منزل,منزله,,
منزل,منزلها,,
منزل,منزلهما,,
منزل,منزلهنا,,
منزل,منزلهم,,
منزل,منزلنا,,
منزل,منزلهنا,,
منزل,منزلكم,,
منزل,منزلكن,,
منزل,منزلكم,,
منزل,منزلكما,,
منزل,منزلكنا,,
شقة,شقة,,
شقة,الشقة,,
شقة,شقق,,
شقة,الشقق,,
شقة,شقتي,,
شقة,شقته,,
شقة,شقتها,,
شقة,شقتهما,,
شقة,شقتهنا,,
شقة,شقتهم,,
شقة,شقتنا,,
شقة,شقتهن,,
شقة,شقتكم,,
شقة,شقتكن,,
شقة,شقتك,,
شقة,شقتكما,,
شقة,شقتكنا,,
أمريكا,أمريكا,,
أمريكا,أمريكي,,
أمريكا,الأمريكي,,
أمريكا,أمريكية,,
أمريكا,الأمريكية,,
أمريكا,أمريكين,,
أمريكا,أمريكيون,,
أمريكا,أمريكيات,,
أمريكا,الأمريكين,,
أمريكا,الأمريكين,,
أمريكا,الأمريكيون,,
أمريكا,الأمريكيات,,
أمريكا,أمريكياتان,,
أمريكا,أمريكيان,,
أمريكا,الأمريكياتان,,
أمريكا,الأمريكيان,,
دم,دم,,
دم,الدم,,
دم,دماء,,
دم,الدماء,,
دم,دموي,,
دم,الدموي,,
دم,دموية,,
دم,الدموية,,
دم,دمي,,
دم,دمه,,
دم,دمها,,
دم,دمائهما,,
دم,دمائهتما,,
دم,دمائهما,,
دم,دمائنا,,
دم,دمائهن,,
دم,دمائكم,,
دم,دمائكن,,
دم,دمائك,,
دم,دمائكما,,
دم,دمائكنا,,
إنس,إنس,,
إنس,إنسان,,
إنس,الإنسان,,
إنس,إنساني,,
إنس,الإنساني,,
إنس,إنسانية,,
إنس,الإنسانية,,
إنس,ناس,,
إنس,الناس,,
لورا,لورا,,
مارستون,مارستون,,
أليك,أليك,,
سميث,سميث,,
