Original,Inflection,Lemma,is_same
اخذ,أخذ,أَخَذ,False
اكل,أكل,أَكْل,False
اسر,أسر,أَسْر,False
اقر,أقر,أَقَرّ,False
سال,سأل,سَأَل,False
ان,أن,أَن,False
الى,إلى,إِلَى,False
اتى,أتى,أَتَى,False
اوى,أوى,أَوَى,False
ارض,أرض,أَرْض,False
ارز,أرز,أَرْز,False
اسد,أسد,أَسَد,False
امة,أمة,أَمَة,False
اخذ,اخذ,أَخْذ,False
اكل,اكل,أَكْل,False
اسر,اسر,أَسْر,False
اقر,اقر,أَقَرّ,False
سال,سال,سال,True
ان,ان,أَن,False
الى,الى,إِلَى,False
اتى,اتى,آتِي,False
اوى,اوى,أَوَى,False
ارض,ارض,أَرْض,False
ارز,ارز,أَرْز,False
اسد,اسد,أَسَدّ,False
امة,امة,أُمّ,False
