Original,Inflection,rbl_ara,is_same
نقل,نقل,نَقْل,False
نقل,أنقل,نَقَل,False
نقل,تنفل,تَنَفَّل,False
نقل,تنقلين,نَقَل,False
نقل,تنقلي,نَقَل,False
نقل,تنقلون,نَقَّل,False
نقل,تنقلوا,تَنَقَّل,False
نقل,تنقلن,نَقَل,False
نقل,ينقل,نَقَل,False
نقل,تنقل,نَقَل,False
نقل,ينقلان,نَقَل,False
نقل,ينقلا,نَقَل,False
نقل,تنقلان,نَقَل,False
نقل,تنقلا,تَنَقُّل,False
نقل,ينقلون,نَقَل,False
نقل,ينقلوا,نَقَل,False
نقل,ينقلن,نَقَل,False
نقل,ننقل,نَقَل,False
نقل,نقلت,نَقَل,False
نقل,نقلت,نَقَل,False
نقل,نقلت,نَقَل,False
نقل,نقلتم,نَقَل,False
نقل,نقلتن,نَقَل,False
نقل,نقل,نَقْل,False
نقل,نقلت,نَقَل,False
نقل,نقلا,نَقْل,False
نقل,نقلنا,نَقَل,False
نقل,نقلوا,نَقَل,False
نقل,نقلن,نَقَل,False
نقل,نقلنا,نَقَل,False
نقل,أنقل,نَقَل,False
نقل,أنقلي,,False
نقل,أنقلوا,,False
نقل,أنقلن,,False
منح,منح,مَنْح,False
منح,أمنح,مَنَح,False
منح,تمنح,مَنَح,False
منح,تمنحين,مَنَح,False
منح,تمنحي,مَنَح,False
منح,تمنحون,مَنَح,False
منح,تمنحوا,مَنَح,False
منح,تمنحن,مَنَح,False
منح,يمنح,مَنَح,False
منح,تمنح,مَنَح,False
منح,يمنحان,مَنَح,False
منح,يمنحان,مَنَح,False
منح,تمنحان,مَنَح,False
منح,تمنحا,مَنَح,False
منح,يمنحون,مَنَح,False
منح,يمنحوا,مَنَح,False
منح,يمنحن,مَنَح,False
منح,نمنح,مَنَح,False
منح,منحت,مَنَح,False
منح,منحت,مَنَح,False
منح,منحت,مَنَح,False
منح,منحتم,مَنَح,False
منح,منحتن,مَنَح,False
منح,منح,مَنْح,False
منح,منحت,مَنَح,False
منح,منحا,مَنْح,False
منح,منحتا,مَنَح,False
منح,منحوا,مَنَح,False
منح,منحن,مُنْحَنِي,False
منح,منحنا,مَنَح,False
منح,أمنح,مَنَح,False
منح,أمنحي,,False
منح,أمنحوا,,False
منح,أمنحن,,False
منع,منع,مَنَع,False
منع,أمنع,أَمْنَع,False
منع,تمنع,مَنَع,False
منع,تمنعين,مَنَع,False
منع,تمنعي,مَنَع,False
منع,تمنعون,مَنَع,False
منع,تمنعوا,تَمَنَّع,False
منع,تمنعن,مَنَع,False
منع,يمنع,مَنَع,False
منع,تمنع,مَنَع,False
منع,يمنعان,مَنَع,False
منع,يمنعا,مَنَع,False
منع,تمنعان,مَنَع,False
منع,تمنعا,تَمَنَّع,False
منع,يمنعون,مَنَع,False
منع,يمنعوا,مَنَع,False
منع,يمنعن,مَنَع,False
منع,نمنع,مَنَع,False
منع,منعت,مَنَع,False
منع,منعت,مَنَع,False
منع,منعت,مَنَع,False
منع,منعتم,مَنَع,False
منع,منعتن,مَنَع,False
منع,منع,مَنَع,False
منع,منعت,مَنَع,False
منع,منعا,مَنَع,False
منع,منعتا,مَنَع,False
منع,منعوا,مَنَع,False
منع,منعن,مَنَع,False
منع,منعنا,مَنَع,False
منع,أمنع,أَمْنَع,False
منع,أمنعي,أَمْنَع,False
منع,أمنعوا,,False
منع,أمنعن,,False
علم,علم,عَلِم,False
علم,أعلم,أَعْلَم,False
علم,تعلم,عَلِم,False
علم,تعلمين,عَلِم,False
علم,تعلمي,عَلِم,False
علم,تعلمون,عَلَّم,False
علم,تعلموا,تَعَلَّم,False
علم,تعملن,عَمِل,False
علم,يعلم,عَلِم,False
علم,تعلم,عَلِم,False
علم,يعلمان,عَلِم,False
علم,يعلما,عَلِم,False
علم,تعلمان,عَلِم,False
علم,تعلما,تَعَلُّم,False
علم,يعلمون,عَلِم,False
علم,يعلموا,عَلِم,False
علم,يعلمن,عَلْمَن,False
علم,نعلم,عَلِم,False
علم,علمت,عَلِم,False
علم,علمت,عَلِم,False
علم,علمت,عَلِم,False
علم,علمتم,عَلِم,False
علم,علمتن,عَلِم,False
علم,علم,عَلِم,False
علم,علمت,عَلِم,False
علم,علما,عِلْم,False
علم,علمتا,عَلِم,False
علم,علموا,عَلِم,False
علم,علمن,عَلْمَن,False
علم,علمنا,عَلِم,False
علم,إعلم,عَلِم,False
علم,إعلمي,عَلِم,False
علم,إعلموا,عَلِم,False
علم,إعلمن,,False
درك,درك,دَرَّك,False
درك,أدرك,أَدْرَك,False
درك,تدرك,أَدَرّ,False
درك,تدركين,تَدَرُّك,False
درك,تدركي,أَدْرَك,False
درك,تدركون,دَرَّك,False
درك,تدركوا,تَدَرَّك,False
درك,تدركن,أَدَرّ,False
درك,يدرك,دَرَّك,False
درك,تدرك,أَدَرّ,False
درك,يدركان,دَرَّك,False
درك,يدركا,دَرَّك,False
درك,تدركان,دَرَّك,False
درك,تدركا,تَدَرُّك,False
درك,يدركون,دَرَّك,False
درك,يدركوا,أَدْرَك,False
درك,يدركن,أَدَرّ,False
درك,ندرك,دَرَّك,False
