Original,Inflection,ar_std_lem_folding1,is_same
علم,علم,علم,True
علم,العلم,علم,True
علم,العلوم,علوم,False
علم,علوم,علوم,False
علم,التعليم,تعليم,False
علم,معلم,معلم,False
علم,المعلم,معلم,False
علم,معلمة,معلم,False
علم,المعلمة,معلم,False
علم,معلمان,معلم,False
علم,المعلمان,معلم,False
علم,معلمون,معلم,False
علم,المعلمون,معلم,False
علم,معلمتان,معلمت,False
علم,المعلمتان,معلمت,False
علم,المعلمات,معلم,False
علم,معلمين,معلم,False
علم,المعلمين,معلم,False
علم,معلومة,معلوم,False
علم,المعلومة,معلوم,False
علم,معلومات,معلوم,False
علم,المعلومات,معلوم,False
علم,أستعلم,استعلم,False
علم,أستعلام,استعلام,False
علم,علمي,علم,True
علم,علمه,علم,True
علم,علمها,علم,True
علم,علمهما,علمهما,False
علم,علمهنا,علمهنا,False
علم,علمهم,علمهم,False
علم,علمنا,علمنا,False
علم,علمهن,علمهن,False
علم,علمكم,علمكم,False
علم,علمكن,علمكن,False
علم,علمك,علمك,False
علم,علمكما,علمكما,False
علم,علمكنا,علمكنا,False
علم,أستعلامات,استعلام,False
علم,الأستعلامات,استعلام,False
شجرة,شجرة,شجر,False
شجرة,الشجرة,شجر,False
شجرة,أشجار,اشجار,False
شجرة,الأشجار,اشجار,False
شجرة,شجيرات,شجير,False
شجرة,الشجيرات,شجير,False
شجرة,شجرتان,شجرت,False
شجرة,الشجرتان,شجرت,False
شجرة,شجرتين,شجرت,False
شجرة,الشجرتين,شجرت,False
شجرة,تشجير,تشجير,False
شجرة,التشجير,تشجير,False
شجرة,شجرتي,شجرت,False
شجرة,شجرته,شجرت,False
شجرة,شجرتها,شجرت,False
شجرة,شجرتهما,شجرتهما,False
شجرة,شجرتهنا,شجرتهنا,False
شجرة,شجرهم,شجرهم,False
شجرة,أشجارنا,اشجارنا,False
شجرة,اشجارهن,اشجارهن,False
شجرة,أشجاركم,اشجاركم,False
شجرة,أشجاركن,اشجاركن,False
شجرة,أشجارك,اشجارك,False
شجرة,أشجاركما,اشجاركما,False
شجرة,أشجاركنا,اشجاركنا,False
عائلة,عائلة,عائل,False
عائلة,العائلة,عائل,False
عائلة,عائلات,عائل,False
عائلة,العائلات,عائل,False
عائلة,عوائل,عوائل,False
عائلة,العوائل,عوائل,False
عائلة,عائل,عائل,False
عائلة,العائل,عائل,False
عائلة,يعول,يعول,False
عائلة,المعول,معول,False
عائلة,عائلتان,عائلت,False
عائلة,العائلتان,عائلت,False
عائلة,عائلتين,عائلت,False
عائلة,العائلتين,عائلت,False
عائلة,عائلتي,عائلت,False
عائلة,عائلته,عائلت,False
عائلة,عائلتها,عائلت,False
عائلة,عائلتهما,عائلتهما,False
عائلة,عائلتهنا,عائلتهنا,False
عائلة,عائلتهم,عائلتهم,False
عائلة,عائلتنا,عائلتنا,False
عائلة,عائلتهن,عائلتهن,False
عائلة,عائلتكم,عائلتكم,False
عائلة,عائلتكن,عائلتكن,False
عائلة,عائلتك,عائلتك,False
عائلة,عائلتكما,عائلتكما,False
عائلة,عائلتكنا,عائلتكنا,False
غربة,غربة,غرب,False
غربة,الغربة,غرب,False
غربة,غرباء,غرباء,False
غربة,الغرباء,غرباء,False
غربة,غريب,غريب,False
غربة,الغريب,غريب,False
غربة,غريبة,غريب,False
غربة,الغريبة,غريب,False
غربة,اغرب,اغرب,False
غربة,الغرب,غرب,False
غربة,غربية,غرب,False
غربة,الغربية,غرب,False
غربة,غربية,غرب,False
غربة,الغربي,غرب,False
غربة,غرائب,غرائب,False
غربة,الغرائب,غرائب,False
غربة,غريبات,غريب,False
غربة,الغريبات,غريب,False
غربة,غريبين,غريب,False
غربة,الغريبين,غريب,False
غربة,غريبون,غريب,False
غربة,الغريبون,غريب,False
غربة,غريبان,غريب,False
غربة,الغريبان,غريب,False
غربة,غريباتان,غريب,False
غربة,الغريباتان,غريب,False
غربة,غريبتين,غريبت,False
غربة,الغريبتين,غريبت,False
غربة,مغترب,مغترب,False
غربة,المغترب,مغترب,False
غربة,مغتربة,مغترب,False
غربة,المغتربة,مغترب,False
غربة,المغرب,مغرب,False
غربة,المغربي,مغرب,False
